IC50_label,smiles
0,CC1=C(SC(=N1)C2=NC=CN=C2)C(=O)NC(CCC3=CC=CC=C3)C=CS(=O)(=O)C4=CC=CC=C4
0,C1=CC=C(C=C1)CCC(C=CS(=O)(=O)C2=CC=CC=C2)NC(=O)C3=CC(=NO3)C4=CN=CC=C4
0,COC1=CC=CC(=C1O)C(=O)NC2=CC(=C(C=C2)C(=N)N)F.C(=O)O
0,CC1=CSC2=C1C(=O)OC(=N2)CC3=CC=C(C=C3)C(=O)C4=CC(=CC=C4)N
0,CC(C1=CC=CC=C1)NC(=O)N2C(CC2=O)SCC(=O)C3=CC=CC=C3
0,C1CC(N(C1)C2=NC=NC3=C2NC=N3)COC4=CC=CC=C4Cl
0,COC1=C(C=CC(=C1C(=O)O)NS(=O)(=O)C2=C(C=C(C=C2)F)Br)C3=CC=CO3
0,C1CCC(CC1)C(C(C(=O)NNC2=CC=CC3=CC=CC=C32)O)N
0,CCCSCC(C(C(=O)N(C)CC1=CC=CC2=CC=CC=C21)O)N
0,C1=CC=C2C(=C1)C3=C(N2)C=NN3
0,CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC=CC=C2)C(=O)O
0,CCC(C)C(C(=O)NC(CC(C)C)C(=O)NC(CC(F)F)C(=O)C(=O)O)NC(=O)OC(C)(C)C
0,CC1=CC(=C(C=C1)S(=O)(=O)NC2=C(SC(=C2)C3=CC=CC=C3)C(=O)O)C
0,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C(=O)N2
0,CC1(C2CCC1(CC2NC(=O)C(C3CCCCC3)NC(=O)NC(CCCCN)C(=O)O)C)C
0,C1=CC=C(C=C1)CC(C(=O)NO)NS(=O)(=O)C2=CC=CC=C2
0,C1CCC(CC1)CNC(=O)P(=O)(O)O
0,CCCCCCC(C(=O)NO)S(=O)C1=CC=C(C=C1)OCC#CC
0,CCOC(=O)C=CC(CC(=O)O)NC(=O)C(C(C)C)NC(=O)C(C1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)OCC2=CC=CC=C2
0,CCCCCCCCCCCCC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC
0,C1COCCN1C(=O)P(=O)(O)O
0,C1C(N(CC2=C1C=CC(=C2)[N+](=O)[O-])S(=O)(=O)C3=CC=C(C=C3)C4=CC=C(C=C4)F)C(=O)C(=O)O
0,C1C(N(CC2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)OC4=CC=C(C=C4)C#N)C(=O)C(=O)O
0,C1C(N(CC2=CC=CC=C21)S(=O)(=O)C=CC3=CC=CC=C3)C(=O)C(=O)O
0,CCCCCCCCOC1=CC=C(C=C1)CC2(C(=O)NC(=O)NC2=O)C
0,CC1=CC=C(C=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3(CCCC4(C3CCC5=CC(=C(C=C54)S(=O)(=O)NC(CC6=CC=CC=C6)C(=O)NC7=CC=C(C=C7)C)C(C)C)C)C
0,B(C(CCCC)NC(=O)C(CCCC)N)(O)O
0,C1CCN(C1)C(=O)C2CN(CC2N)CC3=CC=C(C=C3)C4=CSN=N4
0,CC(C)(CC(=O)N1CCC2=CC=CC=C2C1)C(C(=O)N3CCCC3C#N)N.C(=O)(C(F)(F)F)O
0,C1CC(N(C1)C(=O)C(CCC(=O)N2CCC3=C(C2)SC(=N3)C4=CC=C(C=C4)F)N)C#N.C(=O)(C(F)(F)F)O
0,C1C(CN(C1C#N)C(=O)C(CC2=CSC(=N2)C3=CC=C(C=C3)Cl)N)F
0,CC1=NC(=NC2=CC=CC=C12)CN3C(=O)C4=C(C(=C(N4CC=C(C)C)N5CCCC(C5)N)C#N)N(C3=O)C
0,CC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC=C(N3CC(=O)N=C(N)N)C4=CC=CC=C4
0,COC1=CC=CC2=C1OC(=O)C(=C2)C(=O)NC3=C(C=CC(=C3)Br)N4CCN(CC4)CCO
0,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C(C=C2)Br)NC(=O)C3=CC4=CC=CC=C4OC3=O
0,C1CN(CCN1)C2=C(C=C(C=C2)Br)NC(=O)C3=CC=CC4=CC=CC=C43
